medicine_name,strength_formulation,category,prescriber_level,notes
Abacavir,300mg tablet,Antiretroviral,Physician/Specialist,
Aciclovir,200mg tablet,Antiviral,Physician,
Aciclovir,400mg tablet,Antiviral,Physician,
Albendazole,400mg tablet,Anthelmintic,Any Prescriber,
Amlodipine,5mg tablet,Cardiovascular,Physician,
Amlodipine,10mg tablet,Cardiovascular,Physician,
Amoxicillin,250mg capsule,Antibiotic,Any Prescriber,
Amoxicillin,500mg capsule,Antibiotic,Any Prescriber,
Amoxicillin,125mg/5ml suspension,Antibiotic,Any Prescriber,
Ampicillin,250mg capsule,Antibiotic,Any Prescriber,
Ampicillin,500mg injection,Antibiotic,Physician,
Artemether,20mg + Lumefantrine 120mg tablet,Antimalarial,Any Prescriber,
Artesunate,50mg injection,Antimalarial,Physician,
Artesunate,200mg suppository,Antimalarial,Any Prescriber,
Atenolol,50mg tablet,Cardiovascular,Physician,
Atenolol,100mg tablet,Cardiovascular,Physician,
Atorvastatin,10mg tablet,Lipid-lowering,Physician,
Atorvastatin,20mg tablet,Lipid-lowering,Physician,
Atorvastatin,40mg tablet,Lipid-lowering,Physician,
Azithromycin,250mg tablet,Antibiotic,Physician,
Azithromycin,500mg tablet,Antibiotic,Physician,
Bendroflumethiazide,5mg tablet,Diuretic/Antihypertensive,Physician,
Benzathine Benzylpenicillin,1.2 MU injection,Antibiotic,Physician,
Benzathine Benzylpenicillin,2.4 MU injection,Antibiotic,Physician,
Benzylpenicillin,600mg injection,Antibiotic,Physician,
Betamethasone,0.1% cream,Corticosteroid,Physician,
Bisoprolol,2.5mg tablet,Cardiovascular,Physician,
Bisoprolol,5mg tablet,Cardiovascular,Physician,
Captopril,25mg tablet,Antihypertensive,Physician,
Captopril,50mg tablet,Antihypertensive,Physician,
Carbamazepine,200mg tablet,Anticonvulsant,Physician/Specialist,
Cefuroxime,250mg tablet,Antibiotic,Physician,
Cefuroxime,500mg tablet,Antibiotic,Physician,
Cefuroxime,750mg injection,Antibiotic,Physician,
Chloramphenicol,250mg capsule,Antibiotic,Physician,
Chloramphenicol,1g injection,Antibiotic,Physician,
Chlorphenamine,4mg tablet,Antihistamine,Any Prescriber,
Chlorpromazine,25mg tablet,Antipsychotic,Physician/Specialist,
Chlorpromazine,100mg tablet,Antipsychotic,Physician/Specialist,
Ciprofloxacin,250mg tablet,Antibiotic,Physician,
Ciprofloxacin,500mg tablet,Antibiotic,Physician,
Clindamycin,150mg capsule,Antibiotic,Physician,
Clindamycin,300mg capsule,Antibiotic,Physician,
Co-trimoxazole,480mg tablet,Antibiotic,Any Prescriber,
Co-trimoxazole,960mg tablet,Antibiotic,Any Prescriber,
Co-trimoxazole,240mg/5ml suspension,Antibiotic,Any Prescriber,
Dexamethasone,2mg tablet,Corticosteroid,Physician,
Dexamethasone,4mg/ml injection,Corticosteroid,Physician,
Diazepam,5mg tablet,Anxiolytic/Anticonvulsant,Physician,
Diazepam,10mg/2ml injection,Anxiolytic/Anticonvulsant,Physician,
Diclofenac,25mg tablet,NSAID,Any Prescriber,
Diclofenac,50mg tablet,NSAID,Any Prescriber,
Digoxin,62.5mcg tablet,Cardiac Glycoside,Physician,
